Token1	Label1	Offset1	Token2	Label2	Offset2	Relation	Sentence
phosphatase	Enzyme	(19, 30)	SHP-2	Gene	(13, 18)	ThemeOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
SHP-2	Gene	(91, 96)	interactions	Interaction	(68, 80)	ThemeOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
mutant	Var	(84, 90)	SHP-2	Gene	(91, 96)	ThemeOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
increased	PosReg	(58, 67)	hyperactivation	PosReg	(134, 149)	CauseOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways	Pathway	(153, 219)	hyperactivation	PosReg	(134, 149)	ThemeOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
catalytic activity	MPA	(53, 71)	increase	PosReg	(37, 45)	ThemeOf	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
dephosphorylation of STAT5	MPA	(73, 99)	dampened	NegReg	(118, 126)	ThemeOf	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
E76K	Var	(109, 113)	SHP-2	Gene	(103, 108)	ThemeOf	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
SHP-2	Gene	(103, 108)	dephosphorylation of STAT5	MPA	(73, 99)	ThemeOf	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
E76K	Var	(42, 46)	increase	PosReg	(108, 116)	CauseOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
interaction	Interaction	(121, 132)	increase	PosReg	(108, 116)	ThemeOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
SHP-2	Gene	(13, 18)	Mutations	Var	(0, 9)	ThemeOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
Gab2	Protein	(138, 142)	interaction	Interaction	(121, 132)	ThemeOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
E76K	Var	(42, 46)	enhance	PosReg	(150, 157)	CauseOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
PI3K pathway	Pathway	(180, 192)	enhance	PosReg	(150, 157)	ThemeOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
leukemias	Disease	(114, 123)	hyperactivation	PosReg	(42, 57)	ThemeOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
juvenile myelomonocytic leukemia	Disease	(138, 170)	hyperactivation	PosReg	(42, 57)	ThemeOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
SHP-2	Gene	(36, 41)	E76K	Var	(42, 46)	ThemeOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
C459S	Var	(66, 71)	increase	PosReg	(108, 116)	CauseOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
SHP-2	Gene	(36, 41)	C459S	Var	(66, 71)	ThemeOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
C459S	Var	(66, 71)	enhance	PosReg	(150, 157)	CauseOf	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
Mutations	Var	(0, 9)	hyperactivation	PosReg	(42, 57)	CauseOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
catalytic activity	MPA	(65, 83)	hyperactivation	PosReg	(42, 57)	ThemeOf	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
SHP-2	Gene	(24, 29)	E76K mutation	Var	(30, 43)	ThemeOf	Our results showed that SHP-2 E76K mutation caused myeloproliferative disease in mice, while overexpression of WT SHP-2 decreased hematopoietic potential of the transduced cells in recipient animals.
E76K mutation	Var	(30, 43)	myeloproliferative disease	Disease	(51, 77)	CauseOf	Our results showed that SHP-2 E76K mutation caused myeloproliferative disease in mice, while overexpression of WT SHP-2 decreased hematopoietic potential of the transduced cells in recipient animals.
E76K	Var	(4, 8)	increased	PosReg	(58, 67)	CauseOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
interactions	Interaction	(68, 80)	increased	PosReg	(58, 67)	ThemeOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
Grb2	Protein	(102, 106)	interactions	Interaction	(68, 80)	ThemeOf	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
SHP-2	Gene	(13, 18)	hyperactivation	PosReg	(42, 57)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
phosphatase	Enzyme	(19, 30)	catalytic activity	MPA	(65, 83)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
Mutations	Var	(0, 9)	juvenile myelomonocytic leukemia	Disease	(138, 170)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
juvenile myelomonocytic leukemia	Disease	(138, 170)	leukemias	Disease	(114, 123)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
Mutations	Var	(0, 9)	catalytic activity	MPA	(65, 83)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
Mutations	Var	(0, 9)	leukemias	Disease	(114, 123)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
juvenile myelomonocytic leukemia	Disease	(138, 170)	catalytic activity	MPA	(65, 83)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
phosphatase	Enzyme	(19, 30)	Mutations	Var	(0, 9)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
